Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A891517,,10/26/2023 18:14,23-Oct,3/23/2023,Transfer,Partner,Dog,Intact Female,7 months,Great Pyrenees Mix,White
A888483,*Gertie,10/26/2023 18:23,23-Oct,9/7/2021,Adoption,,Dog,Spayed Female,2 years,Redbone Hound/Labrador Retriever,Brown/Tan
A888217,Pork Chop,10/27/2023 12:22,23-Oct,9/2/2018,Adoption,,Dog,Spayed Female,5 years,Boxer,Brown/Black
A891232,*Bertha,10/27/2023 13:35,23-Oct,4/19/2021,Transfer,Partner,Dog,Intact Female,2 years,Anatol Shepherd Mix,Brown/White
A891694,,10/27/2023 13:36,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,Black/White
A891695,,10/27/2023 13:36,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,White/Brown
A891698,,10/27/2023 13:37,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,Brown
A891697,,10/27/2023 13:37,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,Black/White
A891696,,10/27/2023 13:37,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,White/Brown
A891700,,10/27/2023 13:38,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,Sable/White
A891699,,10/27/2023 13:38,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,Brown
A891701,,10/27/2023 13:38,23-Oct,10/26/2023,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,Sable/White
A891724,Bella,10/27/2023 13:49,23-Oct,10/26/2020,Return to Owner,,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/White
A875214,Fiona,10/27/2023 14:57,23-Oct,2/23/2019,Return to Owner,,Dog,Spayed Female,4 years,Cairn Terrier,Red/Black
A887140,Zeus,10/27/2023 15:22,23-Oct,8/16/2021,Return to Owner,,Dog,Intact Male,2 years,Pit Bull,White/Gray
A891760,Boomer,10/27/2023 15:22,23-Oct,10/27/2020,Return to Owner,,Dog,Neutered Male,3 years,Mastiff Mix,Brown Brindle/Black
A890990,,10/27/2023 15:59,23-Oct,12/16/2022,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair,Brown Tabby
A889604,Tavi,10/27/2023 16:20,23-Oct,7/25/2023,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Tricolor
A890812,,10/27/2023 16:28,23-Oct,6/9/2023,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Blue Tabby
A890811,,10/27/2023 16:28,23-Oct,8/9/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Cream Tabby
A889633,*Rza,10/27/2023 16:47,23-Oct,8/25/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A888988,,10/27/2023 17:11,23-Oct,7/31/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A889300,Dodger,10/27/2023 17:12,23-Oct,9/20/2016,Adoption,,Dog,Neutered Male,7 years,Catahoula Mix,Black/Brown
A890564,Jerro,10/27/2023 17:19,23-Oct,4/9/2022,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Boxer,Brown Brindle
A890916,Luna,10/27/2023 17:27,23-Oct,7/30/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A891208,Loki,10/27/2023 17:27,23-Oct,7/18/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A886056,,10/27/2023 17:29,23-Oct,6/9/2023,Adoption,Foster,Dog,Spayed Female,4 months,St. Bernard Smooth Coat Mix,White/Brown
A890448,*Raisin,10/27/2023 17:42,23-Oct,4/15/2023,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Tortie
A890853,Cooper/ Jack Jack,10/27/2023 17:50,23-Oct,3/13/2022,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever,Black
A880096,Bella,10/27/2023 17:58,23-Oct,12/20/2022,Return to Owner,,Dog,Spayed Female,10 months,Siberian Husky/German Shepherd,Tricolor
A891713,Fox,10/27/2023 18:11,23-Oct,6/26/2023,Adoption,,Cat,Intact Male,4 months,Domestic Shorthair,Blue
A891206,Donatello,10/27/2023 18:20,23-Oct,7/18/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A891207,Moxy,10/27/2023 18:22,23-Oct,7/18/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Black/White
A891134,Kino,10/27/2023 18:39,23-Oct,10/17/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby
A890825,Diabla,10/27/2023 18:42,23-Oct,10/12/2022,Rto-Adopt,,Cat,Spayed Female,1 year,Domestic Shorthair,Black/White
A890419,*Pip,10/27/2023 18:50,23-Oct,3/1/2023,Adoption,,Cat,Neutered Male,7 months,Domestic Medium Hair,Blue Tabby/White
A889696,Gigi,10/27/2023 18:55,23-Oct,5/26/2023,Adoption,,Dog,Neutered Male,5 months,Yorkshire Terrier Mix,Black/Brown
A887820,Sampa,10/28/2023 4:48,23-Oct,8/27/2021,Adoption,,Dog,Spayed Female,2 years,Akita,Black/White
A891808,Rosie,10/28/2023 8:14,23-Oct,10/27/2021,Return to Owner,,Dog,Intact Female,2 years,Siberian Husky Mix,White/Cream
A890641,,10/28/2023 10:39,23-Oct,8/2/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A891539,Zena,10/28/2023 11:17,23-Oct,10/24/2021,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull,Brown Brindle/White
A878003,*Colette,10/28/2023 12:04,23-Oct,4/5/2021,Adoption,,Dog,Spayed Female,2 years,Pointer/Labrador Retriever,White/Brown Brindle
A891043,Buddy,10/28/2023 12:17,23-Oct,10/16/2009,Adoption,,Cat,Intact Male,14 years,Domestic Shorthair,Blue/White
A891558,Izzy,10/28/2023 12:44,23-Oct,6/9/2023,Adoption,,Cat,Intact Male,4 months,Domestic Shorthair,Orange Tabby
A891559,Oopsy,10/28/2023 12:44,23-Oct,6/9/2023,Adoption,,Cat,Intact Male,4 months,Domestic Shorthair,Brown Tabby
A890840,*Beanie,10/28/2023 12:53,23-Oct,4/13/2023,Adoption,,Dog,Intact Female,6 months,Australian Cattle Dog,Blue Tick/Red
A887647,*Cassie,10/28/2023 13:05,23-Oct,8/24/2021,Adoption,,Dog,Spayed Female,2 years,Pit Bull,Tan
A891329,*Lenore,10/28/2023 14:11,23-Oct,5/20/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Black
A890726,Neo,10/28/2023 16:32,23-Oct,7/11/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A891840,,10/28/2023 17:00,23-Oct,10/13/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby
A891529,Apollo,10/28/2023 17:53,23-Oct,6/24/2023,Return to Owner,,Dog,Intact Male,4 months,Pit Bull Mix,Brown/White
A891584,,10/29/2023 10:34,23-Oct,5/24/2023,Adoption,,Bird,Unknown,5 months,Duck,Black Brindle/Yellow
A889164,Sytha,10/29/2023 12:44,23-Oct,8/18/2023,Adoption,,Cat,Intact Female,2 months,Domestic Medium Hair,Brown Tabby
A891583,,10/29/2023 12:45,23-Oct,5/24/2023,Adoption,,Bird,Unknown,5 months,Duck,Brown
A888962,,10/29/2023 13:09,23-Oct,5/15/2023,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair,Orange Tabby/White
A889651,*Shadow,10/29/2023 13:37,23-Oct,8/23/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A887721,*Platinum,10/29/2023 13:41,23-Oct,6/30/2023,Adoption,Foster,Cat,Neutered Male,3 months,American Shorthair,Blue Tabby
A888739,*Malia,10/29/2023 13:48,23-Oct,7/31/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A888738,*Sasha,10/29/2023 13:50,23-Oct,7/31/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A889297,*Shale,10/29/2023 13:54,23-Oct,8/11/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Gray Tabby
A887454,*Trix,10/29/2023 13:58,23-Oct,8/18/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A887451,*Spirit,10/29/2023 14:02,23-Oct,8/18/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A887455,*Spooky-Doo,10/29/2023 14:06,23-Oct,8/18/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby/White
A879617,*Audrey,10/29/2023 14:10,23-Oct,4/28/2021,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Medium Hair,Brown Tabby/White
A889475,*Oogie Boogie,10/29/2023 14:15,23-Oct,8/3/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A888186,*Snow,10/29/2023 14:18,23-Oct,8/25/2023,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Tortie Point
A888187,*Tony,10/29/2023 14:21,23-Oct,8/25/2023,Adoption,Foster,Cat,Neutered Male,2 months,Siamese Mix,Lynx Point
A889621,Loaf,10/29/2023 14:27,23-Oct,8/25/2023,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair,Orange Tabby
A888631,*Donner,10/29/2023 15:30,23-Oct,1/10/2023,Transfer,Partner,Dog,Intact Male,9 months,Australian Cattle Dog,Tricolor
A890273,*Lulu,10/29/2023 15:46,23-Oct,10/4/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Cream
A888414,Frankie,10/29/2023 17:34,23-Oct,7/28/2023,Adoption,Foster,Cat,Intact Male,3 months,Domestic Shorthair,Brown Tabby
A887404,Kane,10/29/2023 18:27,23-Oct,12/21/2022,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/Black
A874808,Thor,10/29/2023 18:37,23-Oct,12/31/2022,Adoption,,Dog,Neutered Male,9 months,Siberian Husky/German Shepherd,Brown/Black
A888246,Bella,10/30/2023 13:03,23-Oct,9/2/2018,Transfer,Partner,Dog,Spayed Female,5 years,Bull Terrier,White/Brown
A879985,*Dewey,10/30/2023 14:00,23-Oct,3/27/2023,Adoption,Foster,Dog,Neutered Male,7 months,Chinese Sharpei,Tan
A888184,*Raya,10/30/2023 14:40,23-Oct,8/25/2023,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A891753,Bj,10/30/2023 14:45,23-Oct,4/30/2022,Return to Owner,,Dog,Intact Male,1 year,Pit Bull/Labrador Retriever,Black
A889211,*Legolas,10/30/2023 14:49,23-Oct,8/7/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,White/Orange Tabby
A889208,*Gandalf,10/30/2023 14:55,23-Oct,8/7/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,White/Brown Tabby
A888183,*Bella,10/30/2023 14:58,23-Oct,9/1/2021,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Torbie
A890356,Lola,10/30/2023 15:56,23-Oct,2/5/2023,Adoption,,Dog,Spayed Female,8 months,Labrador Retriever/Feist,Black/White
A890584,Sypha,10/30/2023 16:05,23-Oct,8/1/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A891457,Brian,10/30/2023 16:12,23-Oct,10/23/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
A886535,Lucky,10/30/2023 16:24,23-Oct,5/23/2023,Adoption,,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/White
A891042,Augie,10/30/2023 16:41,23-Oct,8/25/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A891107,Howl,10/30/2023 16:48,23-Oct,7/24/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A890601,Ryder,10/30/2023 17:14,23-Oct,2/9/2023,Adoption,,Dog,Neutered Male,8 months,Labrador Retriever,Black
A890762,Blue,10/30/2023 17:41,23-Oct,8/20/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby/White
A887537,*Empyrean,10/30/2023 17:56,23-Oct,8/4/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White
A887540,*Solar,10/30/2023 17:57,23-Oct,8/4/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Blue Tabby/White
A891445,,10/30/2023 18:36,23-Oct,10/23/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie
A888987,Bruno,10/30/2023 18:37,23-Oct,2/15/2023,Adoption,,Dog,Neutered Male,8 months,German Shepherd/Australian Kelpie,Black/Tan
A889549,Pumpkin,10/30/2023 18:54,23-Oct,3/24/2022,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown
A889507,Rocky,10/30/2023 19:01,23-Oct,5/8/2023,Adoption,,Dog,Spayed Female,5 months,Labrador Retriever Mix,Tan
A888262,Girlfriend,10/30/2023 19:10,23-Oct,4/11/2020,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Brown
A891984,Mr Cuddles,10/30/2023 19:14,23-Oct,10/30/2021,Return to Owner,,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A884574,,10/31/2023 0:00,23-Oct,5/21/2023,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair,Tortie
A891776,,10/31/2023 0:00,23-Oct,9/20/2023,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,White/Tricolor
A891725,891725,10/31/2023 0:00,23-Oct,6/27/2023,Transfer,Partner,Dog,Intact Male,4 months,Catahoula Mix,White/Blue Merle
A891798,,10/31/2023 0:00,23-Oct,9/27/2023,Transfer,Partner,Dog,Intact Male,4 weeks,Chihuahua Shorthair,Tan/White
A891708,,10/31/2023 10:07,23-Oct,9/4/2023,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A890027,*Mint,10/31/2023 10:32,23-Oct,10/1/2021,Adoption,,Dog,Spayed Female,2 years,Siberian Husky,Black/Gray
A887800,*Trolli,10/31/2023 11:38,23-Oct,7/31/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby/White
A887797,*Cadbury,10/31/2023 11:38,23-Oct,7/31/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A888981,*Tiny Tater Tot,10/31/2023 11:45,23-Oct,7/15/2023,Adoption,Foster,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Black/White
A889629,*Rowina,10/31/2023 11:50,23-Oct,9/25/2019,Adoption,Foster,Dog,Spayed Female,4 years,Great Pyrenees,White
A889476,*Winnifred Sanders,10/31/2023 11:54,23-Oct,8/3/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A889477,*Ghoulie,10/31/2023 11:55,23-Oct,8/3/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A891849,Daisy,10/31/2023 11:57,23-Oct,10/28/2022,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Longhair Mix,White/Black
A887041,*Tater Tot,10/31/2023 11:59,23-Oct,8/14/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White
A847071,Douglas Fur,10/31/2023 12:39,23-Oct,11/24/2018,Adoption,Foster,Dog,Neutered Male,4 years,Mastiff Mix,Tan/White
A890848,Pokechop,10/31/2023 14:10,23-Oct,10/13/2021,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
A889791,*Marbles,10/31/2023 15:54,23-Oct,9/27/2020,Adoption,,Dog,Intact Male,3 years,Australian Shepherd Mix,Brown Brindle/Tan
A854296,*Lunar,10/31/2023 15:54,23-Oct,4/1/2018,Adoption,,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White
A884733,*Chicken Tender,10/31/2023 16:05,23-Oct,1/7/2021,Adoption,Foster,Dog,Neutered Male,2 years,Labrador Retriever,Black/Black
A890668,Athena,10/31/2023 16:13,23-Oct,10/10/2021,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Gray
A891563,,10/31/2023 16:24,23-Oct,8/6/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,White/Blue
A891430,*Parker,10/31/2023 16:26,23-Oct,10/23/2016,Transfer,Partner,Dog,Neutered Male,7 years,Miniature Pinscher Mix,Tricolor
A891794,*Margot,10/31/2023 16:26,23-Oct,10/27/2021,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever,White/Brown
A888926,Hera,10/31/2023 16:49,23-Oct,6/14/2023,Adoption,,Dog,Spayed Female,4 months,Blue Lacy Mix,Blue
A892043,,10/31/2023 16:51,23-Oct,9/24/2023,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A889295,Augie,10/31/2023 16:55,23-Oct,2/20/2023,Adoption,Foster,Dog,Neutered Male,8 months,Dachshund Mix,Brown
A890628,Frankie,10/31/2023 16:57,23-Oct,10/10/2022,Adoption,,Dog,Neutered Male,1 year,Pug/Chihuahua Shorthair,Black
A890763,,10/31/2023 17:10,23-Oct,8/20/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Cream Tabby
A889677,Oakley Bourbon,10/31/2023 17:38,23-Oct,12/11/2022,Adoption,,Dog,Neutered Male,10 months,Labrador Retriever,Chocolate/White
A891119,,10/31/2023 17:58,23-Oct,7/26/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White
A891782,Moon,10/31/2023 18:06,23-Oct,4/27/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Black/White
A891049,,10/31/2023 18:13,23-Oct,6/16/2023,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Black
A890347,*Ziggy,10/31/2023 18:51,23-Oct,10/5/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,White/Black
A883030,*Buddy The Elf,11/1/2023 10:54,23-Nov,6/12/2021,Adoption,Foster,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Tricolor
A888399,Finney,11/1/2023 11:02,23-Nov,9/6/2021,Adoption,Foster,Dog,Intact Female,2 years,Chihuahua Shorthair,White/Black
A891317,Cashew,11/1/2023 11:12,23-Nov,8/20/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Cream Tabby
A702000,Stella,11/1/2023 11:17,23-Nov,11/7/2014,Adoption,Foster,Dog,Spayed Female,8 years,Pit Bull Mix,White/Blue
A744322,*Kolache,11/1/2023 12:04,23-Nov,8/27/2016,Adoption,Foster,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black/White
A891578,,11/1/2023 14:42,23-Nov,8/9/2023,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair,White/Cream
A881743,*Andi,11/1/2023 14:47,23-Nov,5/25/2021,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A884286,*Rodeo,11/1/2023 15:02,23-Nov,6/30/2021,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
A891572,,11/1/2023 15:15,23-Nov,8/9/2023,Adoption,,Cat,Intact Male,2 months,Domestic Longhair,Black/White
A887406,*Gordy,11/1/2023 15:59,23-Nov,8/21/2021,Adoption,,Dog,Neutered Male,2 years,Australian Kelpie Mix,Black/White
A650097,Baby,11/1/2023 16:40,23-Nov,6/24/2012,Return to Owner,,Dog,Intact Female,11 years,Chihuahua Longhair,Tan
A891805,Pepper,11/1/2023 17:00,23-Nov,10/28/2021,Adoption,,Dog,Intact Female,2 years,Dachshund/Chihuahua Shorthair,Black/Brown
A891951,Moon,11/1/2023 17:13,23-Nov,10/30/2021,Return to Owner,,Cat,Intact Female,2 years,Domestic Shorthair,Black/White
A890650,*Hazel,11/1/2023 17:23,23-Nov,10/10/2021,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull,Fawn/Brown
A890637,Reyna,11/1/2023 18:15,23-Nov,10/10/2021,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,Brown Brindle/Brown Brindle
A887508,*Barnacle,11/1/2023 18:57,23-Nov,11/22/2022,Adoption,,Dog,Neutered Male,11 months,Blue Lacy,Blue/White
A891934,,11/1/2023 19:41,23-Nov,10/30/2018,Transfer,Partner,Cat,Intact Male,5 years,Domestic Shorthair,Blue
A891475,,11/2/2023 8:33,23-Nov,6/23/2023,Transfer,Snr,Cat,Intact Female,4 months,Domestic Shorthair,Tortie
A892054,,11/2/2023 8:34,23-Nov,10/31/2022,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,Black/White
A891933,,11/2/2023 8:34,23-Nov,10/30/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A891450,Maja,11/2/2023 8:35,23-Nov,10/23/2021,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Calico
A891936,,11/2/2023 8:36,23-Nov,10/30/2022,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,Brown Tabby/White
A888277,Levi,11/2/2023 10:42,23-Nov,9/3/2018,Adoption,Foster,Dog,Neutered Male,5 years,Border Collie Mix,Black/White
A888188,*Jasmine,11/2/2023 15:31,23-Nov,8/25/2023,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A889935,*Rinely,11/2/2023 16:03,23-Nov,5/29/2023,Adoption,,Dog,Spayed Female,5 months,Belgian Malinois Mix,Brown/Black
A859228,Jo Jo,11/2/2023 16:07,23-Nov,4/10/2022,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Brown
A890170,,11/2/2023 16:10,23-Nov,7/19/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Blue/White
A890522,*Roderick,11/2/2023 16:19,23-Nov,10/8/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black
A889839,Buffy,11/2/2023 16:50,23-Nov,8/30/2023,Adoption,,Dog,Spayed Female,2 months,Pit Bull,Brown/White
A889953,Tyson,11/2/2023 17:01,23-Nov,5/1/2023,Adoption,,Dog,Neutered Male,6 months,German Shepherd Mix,Brown
A891044,*Rhett,11/2/2023 17:07,23-Nov,4/30/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Brown Tabby
A891094,*Brom Bones,11/2/2023 17:15,23-Nov,10/17/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Lynx Point/White
A890585,*Birdie,11/2/2023 17:20,23-Nov,7/27/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby/White
A889970,Yoshi,11/2/2023 17:29,23-Nov,8/18/2023,Adoption,,Dog,Neutered Male,2 months,German Shepherd Mix,Tan/Cream
A887567,Hercules,11/2/2023 17:45,23-Nov,8/23/2021,Adoption,,Dog,Neutered Male,2 years,American Bulldog Mix,Tan/White
A890321,*Alaska,11/2/2023 17:50,23-Nov,10/11/2018,Adoption,,Dog,Spayed Female,5 years,Siberian Husky/Collie Smooth,Black/White
A891531,,11/2/2023 17:55,23-Nov,8/30/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Cream Tabby
A891304,,11/2/2023 18:02,23-Nov,8/20/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White
A892239,,11/2/2023 18:02,23-Nov,10/18/2023,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair,Brown Tabby
A891711,Sheru,11/2/2023 18:15,23-Nov,6/26/2023,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Blue Tabby
A889400,Coco,11/2/2023 18:38,23-Nov,4/22/2023,Adoption,,Dog,Spayed Female,6 months,Chihuahua Shorthair,Brown/White
A890775,*Maya,11/2/2023 18:48,23-Nov,7/28/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A891532,,11/2/2023 18:55,23-Nov,10/24/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Orange Tabby/White
A892036,Crown,11/2/2023 18:57,23-Nov,10/16/2022,Return to Owner,,Dog,Intact Female,1 year,American Bulldog,Black/White
A890452,Harmony,11/2/2023 19:19,23-Nov,9/7/2023,Adoption,,Dog,Intact Female,1 month,Labrador Retriever Mix,Tan
A890454,Honey,11/2/2023 19:19,23-Nov,9/7/2023,Adoption,,Dog,Intact Female,1 month,Labrador Retriever Mix,Tan
A891871,Baby,11/3/2023 11:48,23-Nov,6/28/2023,Adoption,,Cat,Intact Female,4 months,Domestic Shorthair,Orange Tabby
A891802,Binx The Time Sweeper,11/3/2023 14:53,23-Nov,8/23/2021,Return to Owner,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby/White
A890481,Zola,11/3/2023 15:05,23-Nov,10/28/2016,Adoption,,Cat,Spayed Female,7 years,Siamese Mix,Lynx Point
A891961,,11/3/2023 16:20,23-Nov,9/6/2023,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair,Black/White
A890281,*Catalina,11/3/2023 16:36,23-Nov,10/4/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A891865,Monkey,11/3/2023 17:04,23-Nov,8/28/2023,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby
A890855,Morty,11/3/2023 17:04,23-Nov,10/13/2019,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair,Lynx Point
A851208,Maisy,11/3/2023 17:06,23-Nov,2/8/2018,Return to Owner,,Dog,Spayed Female,5 years,Pit Bull Mix,Fawn/White
A890449,*Sweet Potato,11/3/2023 17:14,23-Nov,1/7/2023,Adoption,,Cat,Spayed Female,9 months,Domestic Shorthair,Tortie
A889969,Roxxi,11/3/2023 17:48,23-Nov,8/18/2023,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Brown/Tan
A891925,Dante,11/3/2023 18:58,23-Nov,11/3/2019,Return to Owner,,Dog,Intact Male,4 years,Alaskan Husky Mix,Black/White
A890854,Angel,11/4/2023 8:59,23-Nov,10/13/2019,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair,Lynx Point
A888643,*Big Mama,11/4/2023 12:20,23-Nov,9/10/2021,Adoption,,Other,Intact Female,2 years,Californian,White/Gray
A891969,,11/4/2023 12:35,23-Nov,9/6/2023,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair,Tortie
A881250,Peaches,11/4/2023 13:22,23-Nov,4/8/2013,Return to Owner,,Dog,Spayed Female,10 years,Chihuahua Longhair Mix,Fawn/White
A885658,*Tootsie,11/4/2023 13:26,23-Nov,5/8/2023,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair,Blue
A891478,,11/4/2023 14:04,23-Nov,8/13/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A891176,*Ethel,11/4/2023 15:05,23-Nov,10/18/2022,Adoption,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A886128,*Eddie,11/4/2023 15:26,23-Nov,5/1/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Orange Tabby/White
